type,domain,trueClass,predClass,predProb
FP,msfncsi.com,non-DGA,DGA,0.6532468795776367
FP,wvxlsagkeuye.ir,non-DGA,DGA,0.9979697465896606
FP,1bxencbsmr.ddns.net,non-DGA,DGA,0.999996542930603
FP,idiidowowowofjgjgisos.su,non-DGA,DGA,0.8281946778297424
FP,vflkrhglkrk.im,non-DGA,DGA,0.9275722503662109
FP,dhgkrlfxodcywlbaahi.tv,non-DGA,DGA,0.9643398523330688
FP,luxupadvc.com,non-DGA,DGA,0.6938726305961609
FP,xogrvuu.eu,non-DGA,DGA,0.9774406552314758
FP,twfhdhedquwrkfxglxx.net,non-DGA,DGA,0.9984462261199951
FP,dxzqlnak.org,non-DGA,DGA,0.889768123626709
FP,mlwxaqtayks.bz,non-DGA,DGA,0.9796738028526306
FP,styapokupayu.ru,non-DGA,DGA,0.9984644651412964
FP,itzvyoaau.info,non-DGA,DGA,0.9866383075714111
FP,drjyjayq.org,non-DGA,DGA,0.8555317521095276
FP,acfwftg.com,non-DGA,DGA,0.642418622970581
FP,yssmyiccqw.org,non-DGA,DGA,0.9815481901168823
FP,tvxdtxxx.net,non-DGA,DGA,0.8697312474250793
FP,grupobbva.com,non-DGA,DGA,0.5291984677314758
FP,owiquonegmbpng.tw,non-DGA,DGA,0.9943795800209045
FP,cqxbljoa.org,non-DGA,DGA,0.8514233827590942
FP,tbyxbjllueftxgwcy.cc,non-DGA,DGA,0.9970641136169434
FP,ptsixiy.tw,non-DGA,DGA,0.994997501373291
FP,zaioysbe.net,non-DGA,DGA,0.6103636026382446
FP,bmyfbruysl.xxx,non-DGA,DGA,0.9804471731185913
FP,lgtvsdp.com,non-DGA,DGA,0.7605863809585571
FP,iddnxxqbovxvqirrioaxl.bz,non-DGA,DGA,0.9566737413406372
FP,itsjojosiwa.com,non-DGA,DGA,0.9565803408622742
FP,priwhomfrkdkwm.tw,non-DGA,DGA,0.9979496002197266
FP,klokbxjlvlkoegdnx.sx,non-DGA,DGA,0.9126183390617371
