type,domain,trueClass,predClass,predProb
FP,ebanking-ch1.ubs.com,non-DGA,DGA,0.5498970513966508
FP,6htb5ck86hk8i9.com,non-DGA,DGA,0.9971148676865002
FP,cdn.quizzclub.com,non-DGA,DGA,0.6850639809407113
FP,1042.mp2203.com,non-DGA,DGA,0.873737714607016
FP,v1.xwgjmkqo.com,non-DGA,DGA,0.844952604493939
FP,m25.rxcjcmp.biz,non-DGA,DGA,0.6049068588150688
FP,update.api.sj.360.cn,non-DGA,DGA,0.6255684872068177
FP,m14.mbksjzr.org,non-DGA,DGA,0.6296070388941599
FP,1335.mor.msudrf.ru,non-DGA,DGA,0.590696141528517
FP,shouji1.17u.cn,non-DGA,DGA,0.6102924420227303
FP,m18.xfgoebq.in,non-DGA,DGA,0.7009231893336605
FP,fr-paris-2.justproxy.io,non-DGA,DGA,0.6287228043193311
FP,q7q4v.app.goo.gl,non-DGA,DGA,0.6452650229525042
FP,www.fiveguys.ch,non-DGA,DGA,0.5458868508050589
FP,m32.jmqxise.in,non-DGA,DGA,0.5813456886594235
FP,crossword365.com,non-DGA,DGA,0.5830452043610883
FP,catvlp01.loc.gov,non-DGA,DGA,0.5673860780109883
FP,conf.wifi.360.cn,non-DGA,DGA,0.5695861661643858
FP,sifaju.bjchy.gov.cn,non-DGA,DGA,0.8445254412948433
FP,occ-0-899-2794.1.nflxso.net,non-DGA,DGA,0.5075434919212747
FP,h83zvgrg29.com,non-DGA,DGA,0.948918553959756
FP,idiidowowowofjgjgisos.su,non-DGA,DGA,0.7783401568119416
FP,unmdabd.u178881507.com,non-DGA,DGA,0.9993140876291572
FP,r7.sn-8xgp1vo-p5ql.gvt1.com,non-DGA,DGA,0.6453568721833153
FP,esr3gckprd09.emc.com,non-DGA,DGA,0.516056769658346
FP,content-listing.viaplay.tv,non-DGA,DGA,0.5122971963470345
FP,www.kutztown.edu,non-DGA,DGA,0.7377500643097938
FP,m13.tzjckqc.com,non-DGA,DGA,0.5345669861867826
FP,m19.ardydzj.in,non-DGA,DGA,0.6989764980300348
FP,m14.zkyfjus.com,non-DGA,DGA,0.8139483751465324
FP,m21.wjxhufb.org,non-DGA,DGA,0.844594200591019
FP,r4.sn-p5qs7n7l.gvt1.com,non-DGA,DGA,0.7881961420211884
FP,81.ip-217-182-170.eu,non-DGA,DGA,0.9995235607438536
FP,m4.ubzuifr.biz,non-DGA,DGA,0.7964231558636115
FP,www9.9anime.is,non-DGA,DGA,0.5313655108017827
FP,selenium-99.icpacs.eu,non-DGA,DGA,0.7301634235271315
FP,www.dukeband.org,non-DGA,DGA,0.6007001158498257
FP,vflkrhglkrk.im,non-DGA,DGA,0.7744153966743144
FP,m23.khbwzzt.biz,non-DGA,DGA,0.9679425566322606
FP,helios-kliniken.de,non-DGA,DGA,0.5279515329167523
FP,m20.kfxtjzb.biz,non-DGA,DGA,0.9679019381525874
FP,vs48.tawk.to,non-DGA,DGA,0.7098903510924431
FP,cdns-preview-6.dzcdn.net,non-DGA,DGA,0.6508883667017333
