type,domain,trueClass,predClass,predProb
FP,6htb5ck86hk8i9.com,non-DGA,shiotob/urlzone/bebloh,0.5909630656242371
FP,wvxlsagkeuye.ir,non-DGA,necurs,0.9142971038818359
FP,1bxencbsmr.ddns.net,non-DGA,symmi,0.9979459643363953
FP,h83zvgrg29.com,non-DGA,shiotob/urlzone/bebloh,0.999200165271759
FP,idiidowowowofjgjgisos.su,non-DGA,necurs,0.8522664308547974
FP,freeiconspng.com,non-DGA,tinba,0.631426215171814
FP,vflkrhglkrk.im,non-DGA,necurs,0.9713231325149536
FP,publicvm.com,non-DGA,ramnit,0.6622983813285828
FP,eldorar.com,non-DGA,vawtrak,0.6866969466209412
FP,dhgkrlfxodcywlbaahi.tv,non-DGA,necurs,0.9099024534225464
FP,luxupadvc.com,non-DGA,ramnit,0.8687502145767212
FP,xogrvuu.eu,non-DGA,ramnit,0.423627108335495
FP,twfhdhedquwrkfxglxx.net,non-DGA,necurs,0.44280552864074707
FP,dxzqlnak.org,non-DGA,qakbot,0.5233865976333618
FP,mlwxaqtayks.bz,non-DGA,necurs,0.9055362343788147
FP,styapokupayu.ru,non-DGA,Cryptolocker - Flashback,0.4543294906616211
FP,itzvyoaau.info,non-DGA,qakbot,0.5315472483634949
FP,eposnowhq.com,non-DGA,ramnit,0.7979491353034973
FP,drjyjayq.org,non-DGA,qakbot,0.4144613444805145
FP,signalfx.com,non-DGA,ramnit,0.5131766200065613
FP,yssmyiccqw.org,non-DGA,pykspa,0.9707379937171936
FP,grupobbva.com,non-DGA,ramnit,0.7740340828895569
FP,owiquonegmbpng.tw,non-DGA,ranbyus,0.9928210377693176
FP,abvainvienvaiebai.su,non-DGA,ranbyus,0.7236759066581726
FP,enernoc.com,non-DGA,vawtrak,0.8098914623260498
FP,cqxbljoa.org,non-DGA,qakbot,0.4387654662132263
FP,tbyxbjllueftxgwcy.cc,non-DGA,necurs,0.7749283313751221
FP,ptsixiy.tw,non-DGA,necurs,0.7978141903877258
FP,bmyfbruysl.xxx,non-DGA,necurs,0.968258798122406
FP,iddnxxqbovxvqirrioaxl.bz,non-DGA,necurs,0.8860505223274231
FP,itsjojosiwa.com,non-DGA,ramnit,0.5938481092453003
FP,priwhomfrkdkwm.tw,non-DGA,ranbyus,0.9633637070655823
FP,klokbxjlvlkoegdnx.sx,non-DGA,necurs,0.840965747833252
FP,gutuxhapsbgwyoegnaii.in,non-DGA,necurs,0.8466659784317017
FP,ypeisndyeyesqwqo.net,non-DGA,murofet,0.9181804656982422
FP,dnsebsco.com,non-DGA,ramnit,0.8383641242980957
FP,ftgrwlwd.net,non-DGA,pykspa,0.2739073932170868
FP,cvqmtprqj.sc,non-DGA,necurs,0.8379318714141846
FP,qbpqdesh.xxx,non-DGA,necurs,0.9564164280891418
FP,eaqbcoh.us,non-DGA,necurs,0.9028137922286987
FP,uwdawgpound.com,non-DGA,ramnit,0.7640904784202576
FP,kuwusuuinykcmovndgg.bz,non-DGA,necurs,0.8881925344467163
FP,biuiypatdtmpqn.mn,non-DGA,necurs,0.8920489549636841
FP,pgqguot.info,non-DGA,pykspa,0.5915117263793945
FP,gmailcomsign.in,non-DGA,necurs,0.698184609413147
FP,lrgjfjtf.com,non-DGA,ramnit,0.9474946856498718
FP,ctxiqptj.tw,non-DGA,necurs,0.9048502445220947
FP,cactusvpn.com,non-DGA,ramnit,0.6242724061012268
